TCI,HYDRO_GP,Transect,SPECIES,Year,medYear,time,mTCI
8,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.36
10,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.5625
7,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.2
7,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.2
9,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.4125
6,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.12
6,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.12
10,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.49
8,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.3
8,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.3
10,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.5625
7,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.14
7,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.14
10,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.5625
9,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.35
9,Group 2,10,Eucalyptus largiflorens,2016,2018,-2,0.35
10,Group 2,10,Eucalyptus largiflorens,2018,2018,0,0.56
7,Group 2,10,Eucalyptus largiflorens,2015,2018,-3,0.24
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.525
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.64
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.52
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.52
12,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.7225
8,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.1681
8,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.1681
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.525
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.525
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
9,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.42
9,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.42
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
12,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.7225
11,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.595
11,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.595
11,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.5265
11,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.5265
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.525
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.525
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.6
10,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.49
10,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.49
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
5,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.05
5,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.05
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.4675
7,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.18
7,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.18
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.5625
5,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.06
5,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.06
11,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.68
6,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.09
6,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.09
9,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.4
6,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.09
6,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.09
10,Group 2,19,Eucalyptus largiflorens,2018,2018,0,0.56
7,Group 2,19,Eucalyptus largiflorens,2015,2018,-3,0.18
7,Group 2,19,Eucalyptus largiflorens,2016,2018,-2,0.18
